Name,Primary Muscles,Secondary Muscles,Bilateral
Shoulder Press,Deltoids (Anterior/Medial),Triceps,Yes
Lateral Raise,Deltoids (Medial),,Yes
Front Raise,Deltoids (Anterior),,Yes
Rear Delt Fly,Deltoids (Posterior),Rhomboids,Yes
Face Pull,Deltoids (Posterior),Rhomboids; External Rotators,No
Upright Row,Deltoids; Trapezius,Biceps,No
Arnold Press,Deltoids (All heads),Triceps,Yes
Seated Row,Rhomboids; Lats,Biceps,No
Lat Pulldown,Lats,Biceps; Rear Delts,No
Single Arm Row,Lats; Rhomboids,Biceps,Yes
Band Pull Apart,Rhomboids; Rear Delts,Trapezius,No
Good Morning,Hamstrings; Erector Spinae,Glutes,No
Chest Press (Standing),Pectorals,Triceps; Anterior Delts,No
Floor Press,Pectorals,Triceps; Anterior Delts,No
Band Fly,Pectorals,,No
Bicep Curl,Biceps,,Yes
Hammer Curl,Biceps; Brachialis,,Yes
Concentration Curl,Biceps,,Yes
Reverse Curl,Brachioradialis,Biceps,Yes
Preacher Curl,Biceps,,Yes
Overhead Tricep Extension,Triceps (Long Head),,No
Tricep Pushdown,Triceps,,Yes
Tricep Kickback,Triceps,,Yes
Banded Squat,Quadriceps; Glutes,Hamstrings,No
Romanian Deadlift,Hamstrings; Glutes,Erector Spinae,No
Glute Bridge,Glutes,Hamstrings,No
Hip Thrust,Glutes,Hamstrings; Core,No
Lateral Band Walk,Glutes (Medius); Hip Abductors,,No
Clamshell,Glutes (Medius); Hip External Rotators,,Yes
Hip Abduction,Glutes (Medius),,Yes
Hip Flexion,Hip Flexors,,Yes
Leg Curl,Hamstrings,,Yes
Step Back Lunge,Quadriceps; Glutes,Hamstrings,Yes
Monster Walk,Glutes; Hip Abductors,,No
Standing Hip Extension,Glutes; Hamstrings,,Yes
Pallof Press,Core; Obliques,,Yes
Standing Oblique Crunch,Obliques,,Yes
Woodchop,Obliques; Core,Shoulders,Yes
Kneeling Crunch,Abs; Core,,No
Anti-Rotation Hold,Core,,Yes
